name;url
Dr. Abdullah Daghaiyem Al-Harbi;https://kbs.kfupm.edu.sa/wp-content/uploads/2020/07/8-400x326.png
Dr. Abdullah Mohammed Almansur;https://kbs.kfupm.edu.sa/wp-content/uploads/2020/07/3-400x326.png
Dr. Amr Mohamed Abdel Halim;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/Dr.-Amr-Mohamed-Abdel-Halim-400x326.jpg
Dr. Bo Chen;https://kbs.kfupm.edu.sa/wp-content/uploads/2020/07/11-400x326.png
Dr. Fazlul Hoque Miah;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/Dr.-Fazlul-Hoque-Miah-400x326.jpg
Dr. Haider Hussain Madani;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/madani-400x325.png
Dr. Khaled Mohammed Albinali;https://kbs.kfupm.edu.sa/wp-content/uploads/2020/07/4-400x326.png
Dr. Lu Li;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/DR.-LU-LI-400x326.jpg
Dr. Mahmud Hossain;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/Dr.-Mahmud-Hossain-400x326.jpg
Dr. Mehmet Ali Soytas;https://kbs.kfupm.edu.sa/wp-content/uploads/2020/07/14-400x326.png
Dr. Mirghani Nimir Ahmed;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/Dr.-Mirghani-Nimir-Ahmed-400x326.jpg
Dr. Muhammad Hasan Al-Hazmi;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/Dr.-Muhammad-Hasan-Al-Hazmi-e1594344879773-400x326.png
Dr. Muhammad Imam Akimaya;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/Dr.-Muhammad-Imam-Akimaya-400x326.jpg
Mr. Mohammed Shahidul Islam;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/Mr.-Mohammed-Shahidul-Islam-400x326.jpg
Mr. Omar Ahmed Al-Titi;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/Mr.-Omar-Ahmed-Al-Titi-400x326.jpg
Mr. Taha Nasir;https://kbs.kfupm.edu.sa/wp-content/uploads/2019/10/Taha-Nasir-400x326.jpg
