name;url
Salah U. Al-Dulaijan;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/30/Salah%20U.%20Al-Dulaijan.jpg
Hamad I. AbdulWahhab;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/8/hamad.jpg
Husain Jubran Al-Gahtani;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/10/husn.jpg
Mohammed S. Al-Suwaiyan;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/17/mohammed-suwaiyan.jpg
Muhammad Abdallah Al-Zahrani;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/19/muhammed-zahrani.jpg
Muhammad H. Al-Malack;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/20/muhammad-almalak.jpg
Naser A. Al-Shayea;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/23/nasr.jpg
Nedal T. Ratrout;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/24/2nedal.jpg
Omar Saeed Al‑Amoudi;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/26/omar.jpg
Shakhawat  Chowdhury;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/31/SCNew.jpg
Shamsad Ahmad;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/32/shamshad-ahmad.jpg
Ali Algadhib;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/6/ali.jpg
Faisal M. Mukhtar;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/7/IMG_4624.jpg
Hasan M. Al-Ahmadi;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/9/hasan-ahmadi.jpg
Mesfer M. Al-Zahrani;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/12/Mesfer%20Photo.jpg
Mohammed Al-Osta;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/15/osta.jpg
Muhammad S. Vohra;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/21/vohra.jpg
Hammad Raza Khalid;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/2/Hammad.jpg
Ibrahim Yousif Al-Sghan;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/35/ibrhm.jpg
Khalaf A. Al-Ofi;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/11/khalaf-ofi.jpg
Khaled J. Assi;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/33/Khaled%20Assi.jpg
Saheed Kolawole Adekunle;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/34/sahed.jpg
Mohammed H. Essa;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/16/essa.jpg
Mirza Ghouse Baig;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/13/ghouse-baig.jpg
Ahmad Saad Al-Gahtani;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/3/ahmd-sad.jpg
Alfarabi M. Sharif;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/5/farab.jpg
Mohammed A. Al-Sughaiyer;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/14/sug.jpg
Mostefa Bouchama  (Retired);http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/18/mustafa-bouchama.jpg
Muhammed Baluch (Retired);http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/22/muhammad-baluch.jpg
Saad Ali Aiban (Retired);http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/27/saad-aiban.jpg
Saeid A. Alghamdi  (Retired);http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/28/saeid-alghamdi.jpg
Sahel N. Abduljauwad;http://www.kfupm.edu.sa/departments/ce/Lists/Faculties/Attachments/29/2sahl.jpg
