name;url
Mamdouh Al-Harthi;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/3/mamdouh.jpg
Mohammad Mozahar Hossain;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/12/mozhar.jpg
Shaikh Abdur Razzak;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/15/abdur%20razzak.jpg
Abdul​hadi Al-Juhani;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/7/juhani.jpg
Eid Mussad Al-Mutairi;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/8/Dr%20Eid.jpg
Isam Al-Jundi;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/11/isam.jpg
Oki Muraza;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/14/oki.jpg
Sagheer Onaizi;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/23/onaizi.png
Umer Zahid;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/25/umer%20zahid.jpg
Zuhair Omar Malaibari;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/27/zuhair.jpg
Mohammed Ba-Shammakh;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/13/my%20pic%20Nov%202018%20new.jpg
Abdallah Al-Shammari;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/16/abdall%20shammari.jpg
Abdul Gani Abdul Jameel;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/38/Abdul%20Gani%20pic_kfupm%20website.jpg
Basim Abussaud;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/17/basim.jpg
Donghyun Kim;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/39/KFUPM_profile_Donghyun%20Kim.jpg
HASSAN M. BAAQEEL;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/36/baaqeel.png
Hassan Saeed Alasiri;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/18/Asiri.jpg
Muhammad Siddiquee;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/44/MNSiddiquee_Image.jpg
Nabeel Salim M. Abo-Ghander;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/20/nabeel.jpg
Nadhir A. H. Al-Baghli;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/21/baghli.jpg
Nayef M. Al-Saifi;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/22/saifi.jpg
Robin Chrystie;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/40/KFUPM_profile_picture_Robin.jpg
Usama A. Al-Mubaiyedh;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/24/usama.jpg
Usama Ahmed;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/35/image.png
Wael Ahmed Fouad;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/37/wael.jpg
Wasif Farooq;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/26/wasif%20farooq.jpg
Zuhair Abdulmohsin M. Alyousef;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/43/Zuhair_Picture.png
Sagir Adamu;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/42/WhatsApp%20Image%202019-11-21%20at%202.12.41%20PM.jpeg
Farrukh Shehzad;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/30/Farrukh_Passport_Pic.jpg
Kamal Mahgoub;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/28/Kamal%20Photo%20-%20March%202015.jpg
Siddig S. Khalafalla;http://www.kfupm.edu.sa/departments/che/Lists/Faculties/Attachments/41/3zx4.jpg
