name;url
Aiman El-Maleh;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/6/Dr.%20Aiman.png
Muhammed El-Rabaa;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/8/Dr.%20Elrabaa.png
Sadiq M. Sait;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/3/Dr.%20Sait.jpg
Tarek Rahil Sheltami;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/5/Dr.%20Tarek%20Sheltami.jpg
Ashraf Mahmoud;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/7/Dr.%20Ashraf.jpg
Marwan Abu-Amara;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/9/Dr.%20AbuAmara.jpg
Uthman Baroudi;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/12/Dr.%20Baroudi.jpg
​Abdulaziz Barnawi;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/15/barnawi.jpg
​Yahya Osais;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/14/yahya%20osais.jpg
Abdulaziz Salah Tabbakh;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/27/Dr.%20Tabbakh.jpg
Ahmad AlMulhem;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/2/ahmad_almulhem.jpg
Akram Fadhl Ahmed;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/28/DR.%20Akram.jpg
Basem Al-Madani;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/11/Dr.%20Basem.jpg
Dr. Ali Al-Suwaiyan;http://www.kfupm.edu.sa/dept_siteassets/images/staff.png
Louai Al-Awami;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/18/louai2.png
Mohamed Mudawar;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/13/Dr.%20Mudawar.jpg
Muhamad Felemban;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/26/Dr.%20Felemban.jpg
Muhammad Yahya Mahmoud;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/17/Dr.%20Imam.jpg
Talal AlKharobi;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/10/Dr.%20Talal.png
Hakim Adiche;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/22/Adiche%20Hakim.png
Hazem Selmi;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/23/Mr.%20Selmi.jpg
Kamel Chenaoua;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/21/Mr.%20Chenaou.jpg
Masud Ul-Hasan;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/20/Mr.%20Hassan.jpg
Mohammed Wasim Raad;http://www.kfupm.edu.sa/departments/coe/Lists/Faculties/Attachments/19/Dr.%20Raad.jpg
