name;url
Dr. Abdulaziz Husain M. Al-Aswad;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/4/عبدالعزيز%20الأسود.jpg
Dr. Mohammad A. Gondal;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/13/event-phot0-%202009-3.jpg
Dr. Abdullah A. Al-Sunaidi;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/36/sunaidi1.jpg
Dr. Akhtar A. Naqvi;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/26/naqavi.jpg
Dr. Hocine Bahlouli;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/6/bahloli1.jpg
Dr. Khalil A. Ziq;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/40/ziq1.jpg
Dr. Khalil Harrabi;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/15/Prof.%20Khalil%20Harrabi.jpg
Dr. Mohammad F. Al-Kuhaili;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/19/Kuhaili214-08-2016.jpg
Dr. Zain Hassan Yamani;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/38/33.png
Dr.  Nabil Maalej;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/23/maalij.jpg
Dr. Watheq Ahmed Al-Basheer;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/7/Watheq%2020%2010%202016.JPG
Dr. Abdelkrim Mekki;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/24/dr_mekki.jpg
Dr. Abdul-Aziz Al-Jalal;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/16/aljalal.jpg
Dr. Ayman S. El-Said;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/31/Aymman.png
Dr. Fatah Z. Khiari;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/18/khaiary1.jpg
Dr. Khaled Gasmi;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/11/gasmi.png
Dr. Muhammad Baseer Haider;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/14/haider33.png
Dr. Qing Peng;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/46/qing%20peng.jpg
Dr. Saeed Al-Marzoug;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/21/marzoug1.jpg
Dr. Saleem Rao;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/32/100.png
Dr. Tariq Al-Abdullah;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/41/photo-Tariq.png
Dr. Abdallah M. Al-Zahrani;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/39/IMG_5121[1].JPG
Dr. Adel Abbout;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/45/Photo.png
Dr. Jihad Al- Sadah;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/33/alsadah1.jpg
Dr. Khan Alam;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/42/Khan%20Alam.jpg
Dr. Nidal Khaled Dwaikat;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/9/nidaldwaikat.png
Dr. Papa Birame Ndiaye;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/43/Dr.%20Papa.png
Dr. Sabri Elatresh;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/47/Sabri%20Elatresh.jpg
Dr. Shankar Kunwar;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/20/Kunwar1.jpg
Dr. Thamer A. AL-Aithan;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/2/aithan1.jpg
Dr. Ahmed F. Salem;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/34/asalem.png
Mr. Ayman Ghannam;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/12/ghannam1.jpg
Mr. Faris Ahmed Al Matouq;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/22/faris.png
Mr. Khateeb-Ur-Rehman;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/17/khateeb1.jpg
Mr. Mogtaba B. Mekki;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/25/mekki1.jpg
Mr. Raashid Muhammad;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/30/Rashidmm.jpg
Mr. Muhammad Dastageer;http://www.kfupm.edu.sa/departments/phys/Lists/Faculties/Attachments/8/11.jpg
